name	left	noise	right	original
datahp_no_loop_ac.json linear	0	0	0	34
datahp_no_loop_acald.json network	20	0	3	352
datahp_no_loop_acald.json recon	21	0	2	352
datahp_no_loop_acald.json linear	15	1	3	352
datahp_no_loop_akg.json linear	0	0	0	15
datahp_no_loop_arg.json network	188	186	188	1362
datahp_no_loop_arg.json recon	185	190	188	1362
datahp_no_loop_arg.json linear	192	194	181	1366
datahp_no_loop_asp.json linear	0	0	0	26
datahp_no_loop_co2.json linear	2	0	1	16
datahp_no_loop_duri.json linear	0	0	0	14
datahp_no_loop_etoh.json linear	0	0	0	13
datahp_no_loop_fe2.json linear	1	0	1	7
datahp_no_loop_fum.json linear	0	0	1	23
datahp_no_loop_glu.json linear	0	0	0	14
datahp_no_loop_gly.json linear	0	0	0	8
datahp_no_loop_gua.json linear	0	0	7	9
datahp_no_loop_h.json linear	0	0	0	15
datahp_no_loop_h2.json linear	0	0	0	5
datahp_no_loop_h2co3.json linear	0	0	0	27
datahp_no_loop_h2o.json linear	0	0	0	14
datahp_no_loop_his.json network	200	200	194	1536
datahp_no_loop_his.json recon	200	200	195	1536
datahp_no_loop_his.json linear	200	200	196	1536
datahp_no_loop_ile.json network	200	200	199	1545
datahp_no_loop_ile.json recon	200	200	200	1546
datahp_no_loop_ile.json linear	200	200	200	1546
datahp_no_loop_lac.json linear	0	0	1	9
datahp_no_loop_leu.json network	200	200	199	1591
datahp_no_loop_leu.json recon	200	200	200	1590
datahp_no_loop_leu.json linear	200	200	199	1590
datahp_no_loop_lys.json linear	0	0	0	13
datahp_no_loop_mal.json linear	0	0	0	18
datahp_no_loop_met.json network	164	153	160	1295
datahp_no_loop_met.json recon	160	154	152	1289
datahp_no_loop_met.json linear	170	164	154	1322
datahp_no_loop_nh4.json linear	0	0	0	12
datahp_no_loop_no2.json linear	0	0	0	10
datahp_no_loop_o2.json network	142	132	138	1275
datahp_no_loop_o2.json recon	131	124	132	1281
datahp_no_loop_o2.json linear	127	117	125	1276
datahp_no_loop_orn.json network	19	6	20	181
datahp_no_loop_orn.json recon	13	1	18	181
datahp_no_loop_orn.json linear	10	0	16	181
datahp_no_loop_phe.json linear	0	0	0	20
datahp_no_loop_pi.json network	144	149	136	1099
datahp_no_loop_pi.json recon	143	149	144	1095
datahp_no_loop_pi.json linear	156	142	136	1112
datahp_no_loop_pime.json linear	0	0	0	8
datahp_no_loop_pro.json network	17	1	4	548
datahp_no_loop_pro.json recon	22	0	7	548
datahp_no_loop_pro.json linear	15	0	5	548
datahp_no_loop_pyr.json network	16	1	73	521
datahp_no_loop_pyr.json recon	20	0	74	524
datahp_no_loop_pyr.json linear	23	0	69	524
datahp_no_loop_so4.json linear	0	0	0	10
datahp_no_loop_succ.json linear	0	0	0	24
datahp_no_loop_thm.json network	0	0	1	713
datahp_no_loop_thm.json recon	0	0	1	713
datahp_no_loop_thm.json linear	1	0	0	331
datahp_no_loop_thr.json linear	0	0	0	15
datahp_no_loop_thymd.json linear	0	0	0	9
datahp_no_loop_trp.json linear	0	0	0	7
datahp_no_loop_tyr.json linear	0	0	0	17
datahp_no_loop_urea.json linear	0	0	0	4
datahp_no_loop_val.json network	200	200	197	1516
datahp_no_loop_val.json recon	200	200	199	1512
datahp_no_loop_val.json linear	198	200	194	1519
